iter	Passed	Remaining
746	1348	456
747	1350	454
748	1351	452
749	1353	451
750	1354	449
751	1355	447
752	1358	445
753	1359	443
754	1361	441
755	1362	439
756	1364	437
757	1365	435
758	1367	434
759	1368	432
760	1370	430
761	1371	428
762	1373	426
763	1374	424
764	1376	422
765	1377	420
766	1379	418
767	1380	417
768	1382	415
769	1383	413
770	1385	411
771	1386	409
772	1388	407
773	1390	405
774	1391	404
775	1393	402
776	1394	400
777	1395	398
778	1397	396
779	1398	394
780	1400	392
781	1402	390
782	1403	388
783	1405	387
784	1406	385
785	1408	383
786	1409	381
787	1411	379
788	1412	377
789	1414	375
790	1415	374
791	1417	372
792	1419	370
793	1420	368
794	1422	366
795	1423	364
796	1425	363
797	1426	361
798	1428	359
799	1429	357
800	1431	355
801	1433	353
802	1434	351
803	1436	350
804	1437	348
805	1439	346
806	1440	344
807	1441	342
808	1443	340
809	1444	338
810	1446	337
811	1447	335
812	1449	333
813	1451	331
814	1452	329
815	1454	327
816	1455	326
817	1456	324
818	1458	322
819	1459	320
820	1461	318
821	1463	316
822	1464	315
823	1466	313
824	1467	311
825	1469	309
826	1470	307
827	1472	305
828	1473	303
829	1475	302
830	1476	300
831	1478	298
832	1480	296
833	1482	295
834	1483	293
835	1485	291
836	1486	289
837	1488	287
838	1489	285
839	1491	284
840	1493	282
841	1495	280
842	1496	278
843	1497	276
844	1499	275
845	1500	273
846	1502	271
847	1503	269
848	1504	267
849	1506	265
850	1507	264
851	1509	262
852	1510	260
853	1512	258
854	1513	256
855	1515	254
856	1516	253
857	1518	251
858	1519	249
859	1521	247
860	1522	245
861	1523	243
862	1525	242
863	1527	240
864	1528	238
865	1530	236
866	1531	234
867	1533	233
868	1534	231
869	1536	229
870	1537	227
871	1539	225
872	1541	224
873	1542	222
874	1543	220
875	1545	218
876	1546	216
877	1548	215
878	1549	213
879	1551	211
880	1552	209
881	1554	207
882	1555	206
883	1557	204
884	1559	202
885	1560	200
886	1561	198
887	1563	197
888	1564	195
889	1566	193
890	1567	191
891	1569	190
892	1571	188
893	1572	186
894	1574	184
895	1575	182
896	1577	181
897	1578	179
898	1580	177
899	1582	175
900	1583	174
901	1585	172
902	1586	170
903	1588	168
904	1589	166
905	1591	165
906	1592	163
907	1594	161
908	1595	159
909	1597	157
910	1598	156
911	1600	154
912	1602	152
913	1603	150
914	1605	149
915	1606	147
916	1608	145
917	1610	143
918	1611	142
919	1613	140
920	1615	138
921	1616	136
922	1617	134
923	1619	133
924	1620	131
925	1622	129
926	1623	127
927	1625	126
928	1626	124
929	1628	122
930	1629	120
931	1631	119
932	1632	117
933	1634	115
934	1635	113
935	1637	111
936	1638	110
937	1640	108
938	1642	106
939	1643	104
940	1645	103
941	1646	101
942	1648	99
943	1649	97
944	1651	96
945	1652	94
946	1654	92
947	1656	90
948	1657	89
949	1659	87
950	1660	85
951	1662	83
952	1663	82
953	1665	80
954	1666	78
955	1668	76
956	1669	75
957	1671	73
958	1673	71
959	1675	69
960	1676	68
961	1678	66
962	1679	64
963	1681	62
964	1682	61
965	1683	59
966	1685	57
967	1687	55
968	1688	54
969	1690	52
970	1691	50
971	1693	48
972	1694	47
973	1696	45
974	1697	43
975	1699	41
976	1700	40
977	1702	38
978	1703	36
979	1705	34
980	1706	33
981	1708	31
982	1709	29
983	1711	27
984	1713	26
985	1714	24
986	1716	22
987	1717	20
988	1719	19
989	1721	17
990	1722	15
991	1724	13
992	1725	12
993	1727	10
994	1728	8
995	1730	6
996	1732	5
997	1733	3
998	1735	1
999	1736	0
